Alabama,Montgomery,32.380120,-86.300629
Alaska,Juneau,58.299740,-134.406794
Arizona,Phoenix,33.448260,-112.075774
Arkansas,Little Rock,34.748655,-92.274494
California,Sacramento,38.579065,-121.491014
Colorado,Denver,39.740010,-104.992259
Connecticut,Hartford,41.763325,-72.674069
Delaware,Dover,39.158035,-75.524734
Florida,Tallahassee,30.439775,-84.280649
Georgia,Atlanta,33.748315,-84.391109
Hawaii,Honolulu,21.304770,-157.857614
Idaho,Boise,43.606980,-116.193409
Illinois,Springfield,39.801055,-89.643604
Indiana,Indianapolis,39.766910,-86.149964
Iowa,Des Moines,41.589790,-93.615659
Kansas,Topeka,39.049285,-95.671184
Kentucky,Frankfort,38.195070,-84.878694
Louisiana,Baton Rouge,30.443345,-91.186994
Maine,Augusta,44.318036,-69.776218
Maryland,Annapolis,38.976700,-76.489934
Massachusetts,Boston,42.358635,-71.056699
Michigan,Lansing,42.731940,-84.552249
Minnesota,Saint Paul,44.943829,-93.093326
Mississippi,Jackson,32.298690,-90.180489
Missouri,Jefferson City,38.577515,-92.177839
Montana,Helana,46.589760,-112.021202
Nebraska,Lincoln,40.813620,-96.707739
Nevada,Carson City,39.164885,-119.766999
New Hampshire,Concord,43.207250,-71.536604
New Jersey,Trenton,40.217875,-74.759404
New Mexico,Santa Fe,35.691543,-105.937406
New York,Albany,42.651445,-73.755254
North Carolina,Raleigh,35.785510,-78.642669
North Dakota,Bismarck,46.805372,-100.779334
Ohio,Columbus,39.961960,-83.002984,787033
Oklahoma,Oklahoma City,35.472015,-97.520354
Oregon,Salem,44.933260,-123.043814
Pennsylvania,Harrisburg,40.259865,-76.882230
Rhode Island,Providence,41.823875,-71.411994
South Carolina,Columbia,33.998550,-81.045249
South Dakota,Pierre,44.368924,-100.350158
Tennessee,Nashville,36.167783,-86.778365
Texas,Austin,30.267605,-97.742984
Utah,Salt Lake City,40.759505,-111.888229
Vermont,Montpelier,44.260299,-72.576264
Virginia,Richmond,37.540700,-77.433654
Washington,Olympia,47.039231,-122.891366
West Virginia,Charleston,38.350195,-81.638989
Wisconsin,Madison,43.072950,-89.386694
Wyoming,Cheyenne,41.134815,-104.821544
Abkhazia,Sukhumi,43.0000,41.0167
Afghanistan,Kabul,34.5333,69.1667
Albania,Tirana,41.3260,19.8160
Algeria,Algiers,36.7667,3.2167
American Samoa,Pago Pago,14.2794,170.7006
Andorra,Andorra la Vella,42.5000,1.5000
Angola,Luanda,8.8383,13.2344
Anguilla,The Valley,18.2208,63.0517
Argentina,Buenos Aires,34.6033,58.3817
Armenia,Yerevan,40.1833,44.5167
Aruba,Oranjestad,12.5190,70.0370
Australia,Canberra,35.3075,149.1244
Austria,Vienna,48.2000,16.3667
Azerbaijan,Baku,40.3953,49.8822
Bahamas,Nassau,25.0600,77.3450
Bahrain,Manama,26.2167,50.5833
Bangladesh,Dhaka,23.7000,90.3667
Barbados,Bridgetown,13.1058,59.6131
Belarus,Minsk,53.9000,27.5667
Belgium,Brussels,50.8500,4.3500
Belize,Belmopan,17.2514,88.7669
Benin,Porto-Novo,6.4972,2.6050
Bermuda,Hamilton,32.2930,64.7820
Bhutan,Thimphu,27.4667,89.6417
Bolivia,Sucre,19.0500,65.2500
Bosnia and Herzegovina,Sarajevo,43.8667,18.4167
Botswana,Gaborone,24.6581,25.9122
Brazil,Brasília,15.7939,47.8828
British Virgin Islands,Road Town,18.4314,64.6231
Bulgaria,Sofia,42.7000,23.3333
Burkina Faso,Ouagadougou,12.3572,1.5353
Burundi,Bujumbura,3.3833,29.3667
Cambodia,Phnom Penh,11.5500,104.9167
Cameroon,Yaoundé,3.8667,11.5167
Canada,Ottawa,45.4214,75.6919
Cape Verde,Praia,14.9180,23.5090
Cayman Islands,George Town,19.3034,81.3863
Central African Republic,Bangui,4.3667,18.5833
Chad,N'Djamena,12.1131,15.0492
Chile,Santiago,33.4500,70.6667
China,Beijing,39.9167,116.3833
Christmas Island,Flying Fish Cove,10.4217,105.6781
Colombia,Bogotá,4.5981,74.0758
Comoros,Moroni,11.7500,43.2000
Cook Islands,Avarua,21.2000,159.7667
Costa Rica,San José,9.6000,83.9500
Croatia,Zagreb,45.8167,15.9833
Cuba,Havana,23.1333,82.3833
Curaçao,Willemstad,12.1167,68.9333
Cyprus,Nicosia,35.1667,33.3667
Czech Republic,Prague,50.0833,14.4167
Côte d'Ivoire,Yamoussoukro,6.8167,5.2833
Democratic Republic of the Congo,Kinshasa,4.3250,15.3222
Denmark,Copenhagen,55.6761,12.5683
Djibouti,Djibouti,11.6000,43.1667
Dominica,Roseau,15.3014,61.3883
Dominican Republic,Santo Domingo,18.4667,69.9500
Ecuador,Quito,0.2333,78.5167
Egypt,Cairo,30.0444196,31.2357116
El Salvador,San Salvador,13.6929403,-89.2181911
Equatorial Guinea,Malabo,3.7504118,8.7371039
Eritrea,Asmara,15.3228767,38.9250517
Estonia,Tallinn,59.4369608,24.7535746
Ethiopia,Addis Ababa,8.9806034,38.7577605
Falkland Islands,Stanley,-51.6977129,-57.8516627
Faroe Islands,T\u00f3rshavn,62.007864,-6.7909816
Federated States of Micronesia,Palikir,6.9147118,158.1610274
Fiji,Suva,-18.1248086,178.4500789
Finland,Helsinki,60.1733244,24.9410248
France,Paris,48.856614,2.3522219
French Guiana,Cayenne,4.92242,-52.3134531
French Polynesia,Papeete,-17.5516251,-149.5584758
Gabon,Libreville,0.4161976,9.4672676
Gambia,Banjul,13.4548761,-16.5790323
Georgia,Tbilisi,41.7151377,44.827096
Germany,Berlin,52.5200066,13.404954
Ghana,Accra,5.6037168,-0.1869644
Gibraltar,Gibraltar,36.140751,-5.353585
Greece,Athens,37.983917,23.7293599
Greenland,Nuuk,64.1814099,-51.694138
Grenada,St. George's,12.0560975,-61.7487996
Guam,Hagatna,13.4708908,144.7512782
Guatemala,Guatemala City,14.6349149,-90.5068824
Guernsey,St. Peter Port,49.4541677,-2.5497069
Guinea,Conakry,9.6411855,-13.5784012
Guinea-Bissau,Bissau,11.803749,-15.180413
Guyana,Georgetown,6.8012793,-58.1551255
Haiti,Port-au-Prince,18.594395,-72.3074326
Honduras,Tegucigalpa,14.0722751,-87.192136
Hungary,Budapest,47.497912,19.040235
Iceland,Reykjavik,64.1265206,-21.8174393
India,New Delhi,28.6139391,77.2090212
Indonesia,Jakarta,-6.2087634,106.845599
Iran,Tehran,35.6891975,51.3889736
Iraq,Baghdad,33.3128057,44.3614875
Ireland,Dublin,53.3498053,-6.2603097
Isle of Man,Douglas,54.1523372,-4.4861228
Israel,Jerusalem,31.768319,35.21371
Italy,Rome,41.9027835,12.4963655
Jamaica,Kingston,18.0423274,-76.8028933
Japan,Tokyo,35.6894875,139.6917064
Jersey,St. Helier,49.1868225,-2.1065682
Jordan,Amman,31.9565783,35.9456951
Kazakhstan,Astana,51.1605227,71.4703558
Kenya,Nairobi,-1.2920659,36.8219462
Kiribati,Tarawa,1.4518171,172.9716617
Kosovo,Pristina,42.6629138,21.1655028
Kuwait,Kuwait City,29.375859,47.9774052
Kyrgyzstan,Bishkek,42.8746212,74.5697617
Laos,Vientiane,17.9757058,102.6331035
